ID,英文名稱,中文名稱,圖片,備註,更新日期
3631002,heat of formation,生成熱,,,2018-12-17
3631003,heat of fusion,熔化熱,,,2018-12-17
3631004,heat of reaction,反應熱,,,2018-12-17
3631005,heat of vaporization,汽化熱,,,2018-12-17
3631006,heat value,熱值,,,2018-12-17
3631007,heating curve,加熱曲線,,,2018-12-17
3631008,heating value,熱值,,,2018-12-17
3631009,heavy metal,重金屬,,,2018-12-17
3631010,helium,氦,,,2018-12-17
3631011,helix,螺旋形　,,,2018-12-17
3631012,heme,血基質,,20200507修訂,2020-05-07
3631013,hemoglobin,血紅素,,,2018-12-17
3631014,Henry,亨利,,,2018-12-17
3631015,Henry's law,亨利定律,,,2018-12-17
3631016,heroin,海洛因,,,2018-12-17
3631017,Herschbach,赫休巴赫,,,2018-12-17
3631018,Hess,赫斯,,,2018-12-17
3631019,Hess' law,赫斯定律　,,,2018-12-17
3631020,heterogeneous,不勻相的,,,2018-12-17
3631021,heterogeneous alloy,不勻合金,,,2018-12-17
3631022,heterogeneous mixture,不勻混合物　,,,2018-12-17
3631023,heterogeneous reaction,不勻反應　,,,2018-12-17
3631024,heterogeneous system,不勻系,,,2018-12-17
3631025,heteronuclear diatomic molecule,異核雙原子分子　　　,,,2018-12-17
3631026,hexagonal close packing,六方最密堆積,,,2018-12-17
3631027,HFCs {hydrofluorocarbons},HFCs；氫氟碳化[合]物,,,2018-12-17
3631028,Hideki Shirakawa,白川英樹　,,,2018-12-17
3631029,high density polyethylene,高密度聚乙烯,,,2018-12-17
3631030,histone,組蛋白　,,,2018-12-17
3631031,Hoffmann,何夫曼,,,2018-12-17
3631032,Hofmann,何夫曼,,,2018-12-17
3631033,homogeneous,勻相的,,,2018-12-17
3631034,homogeneous mixture,勻相混合物,,,2018-12-17
3631035,homogeneous reaction,勻相反應,,,2018-12-17
3631036,homonuclear diatomic molecule,同核雙原子分子　　,,,2018-12-17
3631037,homopolymer,同元聚合物；均聚物,,,2018-12-17
3631038,Hückel,休克耳,,,2018-12-17
3631039,Hund,洪德,,,2018-12-17
3631040,Hund's rule,洪德定則,,,2018-12-17
3631041,hybrid,混合物,,,2018-12-17
3631042,hybrid electric vehicle,油電混合車　,,,2018-12-17
3631043,hybrid orbital,混成軌域,,,2018-12-17
3631044,hybridization,混成　,,,2018-12-17
3631045,hydracid,氫酸,,,2019-10-28
3631046,hydrocarbon,烴；碳氫化合物,,,2018-12-17
3631047,hydrochloric acid,氫氯酸；鹽酸,,,2018-12-17
3631048,hydrofluorocarbons {= HFCs},氫氟碳化[合]物；HFCs,,,2019-10-28
3631049,hydrogen,氫,,,2018-12-17
3631050,hydrogen bond,氫鍵,,,2018-12-17
3631051,hydrogen ion,氫[陽]離子,,20220314修訂,2022-07-15
